CS10_Chr_08_-_Captain,SRZH01000008.1,100.000,2596,0,0,1,2596,1875683,1878278,0.0,4682
CS10_Chr_08_-_Captain,JBBEUP010000002.1,99.653,2596,9,0,1,2596,2640914,2643509,0.0,4642
CS10_Chr_08_-_Captain,JANTPY010000029.1,99.653,2596,9,0,1,2596,135278,132683,0.0,4642
CS10_Chr_08_-_Captain,SRZF01000001.1,99.577,2602,3,6,1,2596,1591230,1588631,0.0,4624
CS10_Chr_08_-_Captain,JAFVLV010000040.1,98.767,2596,32,0,1,2596,89955,87360,0.0,4538
CS10_Chr_08_-_Captain,SRZG01000008.1,98.690,2596,34,0,1,2596,79812,77217,0.0,4529
CS10_Chr_08_-_Captain,WNKQ01000033.1,98.652,2596,35,0,1,2596,62547,59952,0.0,4525
CS10_Chr_08_-_Captain,RCTM01000001.1,98.344,2596,43,0,1,2596,2133813,2136408,0.0,4488
CS10_Chr_08_-_Captain,RCTM01000001.1,70.122,164,49,0,2429,2592,1392038,1391875,1.71e-10,76.1
CS10_Chr_08_-_Captain,JASPLA010000003.1,98.344,2596,43,0,1,2596,2170696,2173291,0.0,4488
CS10_Chr_08_-_Captain,SRZH01000003.1,98.230,2599,43,1,1,2596,2214610,2217208,0.0,4479
CS10_Chr_08_-_Captain,JANFPG010000026.1,98.112,2596,48,1,1,2596,2449,5043,0.0,4458
CS10_Chr_08_-_Captain,JANFPF010000164.1,98.112,2596,48,1,1,2596,45563,42969,0.0,4458
CS10_Chr_08_-_Captain,JANFPC010000087.1,98.112,2596,48,1,1,2596,25691,28285,0.0,4458
CS10_Chr_08_-_Captain,JANFPB010000025.1,98.112,2596,48,1,1,2596,45546,42952,0.0,4458
CS10_Chr_08_-_Captain,SRZF01000003.1,98.154,2600,43,5,1,2596,2127966,2130564,0.0,4455
CS10_Chr_08_-_Captain,SRZF01000003.1,70.833,168,43,3,2429,2592,1395619,1395454,1.71e-10,75.2
CS10_Chr_08_-_Captain,SRZE01000002.1,97.964,2603,43,7,1,2596,2093705,2096304,0.0,4433
CS10_Chr_08_-_Captain,SRZE01000002.1,70.833,168,43,3,2429,2592,1354531,1354366,1.71e-10,75.2
CS10_Chr_08_-_Captain,JAHALU010000047.1,94.844,2599,131,2,1,2596,50937,53535,0.0,4077
CS10_Chr_08_-_Captain,JANTPY010000002.1,94.534,2598,140,1,1,2596,1522575,1525172,0.0,4043
CS10_Chr_08_-_Captain,JANFPE010000050.1,94.534,2598,140,1,1,2596,12006,14603,0.0,4043
CS10_Chr_08_-_Captain,SRZE01000017.1,94.242,2605,139,7,1,2596,775827,773225,0.0,4001
CS10_Chr_08_-_Captain,SRZF01000011.1,93.241,2604,168,5,1,2596,1900899,1903502,0.0,3888
CS10_Chr_08_-_Captain,SRZF01000011.1,100.000,72,0,0,2525,2596,1983304,1983375,2.53e-27,131
CS10_Chr_08_-_Captain,JBBEUP010000010.1,92.228,2599,198,3,1,2596,1002296,999699,0.0,3767
CS10_Chr_08_-_Captain,JBBEUP010000010.1,84.020,801,119,3,1,792,494736,495536,0.0,863
CS10_Chr_08_-_Captain,JBBEUP010000010.1,83.451,707,110,3,785,1489,495787,496488,0.0,741
CS10_Chr_08_-_Captain,JBBEUP010000010.1,68.610,223,60,4,2351,2568,1757391,1757174,1.40e-11,78.8
CS10_Chr_08_-_Captain,JAIRCK010000158.1,92.035,2599,203,3,1,2596,1485,4082,0.0,3745
CS10_Chr_08_-_Captain,AMCY02000006.1,91.570,2598,217,1,1,2596,21144,23741,0.0,3696
CS10_Chr_08_-_Captain,JFHG01002349.1,91.577,2600,212,4,1,2594,32928,30330,0.0,3690
CS10_Chr_08_-_Captain,CBCPGI010000097.1,91.493,2598,218,2,1,2596,68893,66297,0.0,3683
CS10_Chr_08_-_Captain,JBJYIS010000001.1,91.010,2603,219,6,1,2596,4434726,4437320,0.0,3626
CS10_Chr_08_-_Captain,JAMFQD010000043.1,90.643,2597,239,3,1,2594,1818639,1816044,0.0,3579
CS10_Chr_08_-_Captain,JBBXZX010000003.1,90.496,2599,243,3,1,2596,109768,107171,0.0,3564
CS10_Chr_08_-_Captain,JANFPD010001388.1,90.496,2599,243,3,1,2596,1140,3737,0.0,3564
CS10_Chr_08_-_Captain,JANFPA010000569.1,90.496,2599,243,3,1,2596,19280,16683,0.0,3564
CS10_Chr_08_-_Captain,JALPSE010000439.1,90.496,2599,243,3,1,2596,566,3163,0.0,3564
CS10_Chr_08_-_Captain,WNKQ01000003.1,90.403,2605,240,4,1,2596,357346,359949,0.0,3562
CS10_Chr_08_-_Captain,JANFPG010000103.1,90.458,2599,244,3,1,2596,1245,3842,0.0,3560
CS10_Chr_08_-_Captain,JANFPE010000397.1,90.458,2599,244,3,1,2596,31000,28403,0.0,3560
